Usher	There Goes My Baby
James Blake	Lindisfarne I
Dan Deacon	Wet Wings
Jane Monheit	Save Your Love For Me
Foster The People	Warrant
Jens Lekman	I'm Leaving You Because I Don't Love You
Bill Callahan	Sycamore
Wye Oak	Civilian
The Doors	The Spy
Slayer	Cult
Dirge Within	Self Medicate
Atreyu	Ex's And Oh's
Donnie McClurkin	When You Love 
Anita Baker	You Bring Me Joy
Anita Baker	Good Love
Adele	Love Song
Adelitas Way	Sick
Sick Puppies	War
Red	Feed The Machine
Metallica	Metal Militia
Cold	Wicked World
Anthrax	Among The Living
Blackguard	Firefight
Katy Perry	E.T. 
The Stylistics	You're A Big Girl Now
Kid Rock	Collide 
Millie Small	My Boy Lollipop
The Rolling Stones	We Love You
Bob Marley & The Wailers	War
Gene Pitney	Only Love Can Break A Heart
John Hiatt	What Kind Of Man
Joan Armatrading	This Charming Life
The Isley Brothers	Fight The Power Part 1
War	Me And Baby Brother
Eskmo	Color Dropping
Chris Tomlin	Our God
Celine Dion	God Bless America
Lincoln Brewster	All I Really Want
Jose Jose	O Tu O Yo
Joe Cocker	You Are So Beautiful
Cassandra Wilson	Blue Skies
Roy Milton	Thrill Me
Billie Holiday	Nice Work If You Can Get It
Delirious?	Stronger
Ready For The World	Love You Down
New Edition	I'm Still In Love With You
Frederick Knight	I've Been Lonely For So Long
Wilson Pickett	Don't Let The Green Grass Fool You
Jill Scott	So In Love 
Johnny Gill	In The Mood
One Way	Cutie Pie
Elvis Presley	Heartbreak Hotel
The Platters	I Love You 1000 Times
Bo Diddley	Bo Diddley
Brenton Wood	Gimme Little Sign
Barry Manilow	Can't Smile Without You
Shenandoah	Rock My Baby
Hank Snow	Hello Love
Zebra	One More Chance
Sammy Hagar	Baby's On Fire
Tony Carey	I Won't Be Home Tonight
Whitesnake	Love Ain't No Stranger
Muse	Stockholm Syndrome
Jose Alfredo Jimenez	El Rey
Los Alegres De Teran	Hermosisimo Lucero
Nice & Wild	Diamond Girl
The Cult	Sun King
Sammy Kershaw	Love Of My Life
Craig Morgan	God Must Really Love Me
Alan Jackson	Ring Of Fire
David Kersh	Goodnight Sweetheart
Robert Earl Keen	Something I Do
Willie Nelson	Uncloudy Day
Ryan Adams	To Be Young 
Reckless Kelly	Some People's Kids
Praise Band	Awesome God
Phish	Free
Christine McVie	Got A Hold On Me
Chic	I Want Your Love
Don Henley	Sunset Grill
Underoath	A Boy Brushed Red Living In Black And White
Vreid	Disciplined
Belphegor	Blood Magick Necromance
Murder By Death	Comin' Home
My Darkest Days	Move Your Body
Akon	Lonely
Conjunto Primavera	Fue Un Placer Amarte
Terri Clark	I Just Wanna  Be Mad
Built To Spill	Goin' Against Your Mind
Bo Diddley	Bring It To Jerome
Jane Monheit	I'm Glad There Is You
Ann Hampton Callaway	What Is This Thing Called Love?
B.B. King	Don't Answer The Door
James Hunter	No Smoke Without Fire
Melody Gardot	Over The Rainbow
Stevie Wonder	For Your Love
Simon & Garfunkel	Homeward Bound
Wadsworth Mansion	Sweet Mary
Bayside	Sick, Sick, Sick
Does It Offend You, Yeah?	The Monkeys Are Coming
Rosie & The Originals	Angel Baby
Maze	Happy Feelin's 
Zoe	Love
Young Galaxy	The Angels Are Surely Weeping
PJ Harvey	This Mess We're In
Kylesa	Dust
Silversun Pickups	Waste It On
Oh Land	White Nights
The Beatles	And I Love Her
Serge Gainsbourg	Requiem Pour Un C...
Bebel Gilberto	Aganju
The Dramatics	Get Up And Get Down
Tinsley Ellis	Speak No Evil
Kurt Elling	Matte Kudasai
Merle Haggard	Going Where The Lonely Go
Johnny Cash	Rusty Cage
Green Day	Sassafrass Roots
Judas Priest	Painkiller
Mr. Big	Addicted To That Rush
The Rolling Stones	Hang Fire
Jack Johnson	From The Clouds
Robbie Robertson	He Don't Live Here No More
Stereophonics	Maybe Tomorrow
The Police	So Lonely
Rockpile	Teacher Teacher
Air	Cherry Blossom Girl
Los Lobos	Come On Let's Go
Damien Rice	The Blowers Daughter
Byron Cage	It Is To You
Will Downing	Lover's Melody 
Mary J. Blige	I Can See In Color
Hezekiah Walker & The Love Fellowship Crusade Choir	Power Belongs To God
Donald Byrd	Think Twice
The Meters	Fire On The Bayou
Inner City	Good Life
La Ley	Aqui
Ednita Nazario	Sobrevivo
Fats Domino	All By Myself
Al Green	You've Got The Love I Need 
Patrice Rushen	Settle For My Love
K-Paz De La Sierra	Volvere
Ricardo Montaner	Tan Enamorados
RBD	Nuestro Amor
Belinda	Bella Traicion
Braids	Lemonade
The Stooges	No Fun
Sonic Youth	Reena
Fatboy Slim	Everybody Needs A 303
Metric	On The Sly
Warpaint	Set Your Arms Down
White Fence	Harness
Bloc Party	Like Eating Glass
Smith Westerns	Fallen In Love
Tokyo Police Club	Big Difference
Love Is All	Make Out Fall Out Make Up
Tony Bennett	Because Of You
Billie Holiday	Summertime
The Red Hot Chili Peppers	Blood Sugar Sex Magik
Warrant	Sometimes She Cries
Enya	Amarantine
Andy Andy	Que Ironia
Victor Manuelle	Asi Es La Mujer
Motley Crue	Louder Than Hell
New Order	Shellshock
The Beatles	I Should Have Known Better
Roger Daltrey	Without Your Love
David Lee Roth	Just Like Paradise
Ohio Express	Yummy Yummy Yummy
Small Faces	Itchycoo Park
The Supremes	Baby Love
Blood, Sweat & Tears	You've Made Me So Very Happy
Olivia Newton-John	I Honestly Love You
The Ronettes	Baby, I Love You
Van Morrison	Crazy Love
The Rascals	People Got To Be Free
Eddie Holman	Hey There Lonely Girl
The Cowsills	The Rain, The Park And Other Things
The Bee Gees	Tragedy
The Beatles	Love Me Do
Wayne Fontana & The Mindbenders	The Game Of Love
Otis Redding	That's How Strong My Love Is
The Whispers	It's A Love Thing
Laura Izibor	From My Heart To Yours
Rufus & Chaka Khan	Do You Love What You Feel
Loose Ends	Slow Down
Ann Nesby	Put It On Paper 
Anthony Hamilton	The Point Of It All
Donny Hathaway	I Love You More Than You'll Ever Know
Jerzee Monet	Most High
Boney James	Don't Let Me Be Lonely Tonight 
Karyn White	Love Saw It 
Teena Marie	Portuguese Love
Lisa Fischer	How Can I Ease The Pain
Dave Hollister	Take Care Of Home
Gotan Project	Amor Porteno 
The Infamous Stringdusters	Starry Night
Skeletonwitch	Upon Wings Of Black
Hatebreed	Destroy Everything
Lamb Of God	Black Label
Metallica	St. Anger
Whitney Houston	All The Man That I Need
Patti LaBelle	Kiss Away The Pain
Johnny Hartman	The Very Thought Of You
The Radio Dept.	Heaven's On Fire
Baths	Maximalist
Lucinda Williams	Born To Be Loved
Daft Punk	Make Love
New Order	Age Of Consent
Roy Orbison	Candy Man
El Guincho	Lycra Mistral
The Hundred In The Hands	Dead Ending
Yeah Yeah Yeahs	Maps
Ed Bruce	The Last Cowboy Song
Crystal Gayle	A Long And Lasting Love
Pat Benatar	We Live For Love
Boz Scaggs	Breakdown Dead Ahead
The Raveonettes	War In Heaven
Stateless	Assassinations
Me'Shell Ndegeocello	Love You Down
Gorillaz	Broken
Vivian Girls	I Heard You Say
Franz Ferdinand	Do You Want To
UNKLE	Hold My Hand
36 Crazyfists	The All Night Lights
The Devil Wears Prada	Dez Moines
Alabama	Sad Lookin' Moon
Rufus & Chaka Khan	Everlasting Love
Mr. Capone-E	Light My Fire 
Raheem DeVaughn	I Don't Care
Herb Alpert & The Tijuana Brass	A Taste Of Honey
Gretchen Parlato	Blue In Green
Gucci Mane	I Don't Love Her 
Keri Hilson	Make Love
Chris Brown	Beautiful People 
Jeremy Camp	You Never Let Go
Rocio Durcal	No Sirvo Para Estar Sin Ti
Albert Hammond	Echame A Mi La Culpa
Banda El Recodo	Tiro Arriba
Roberta Gambarini	From This Moment On
Back Door Slam	Come Home
Immature	Never Lie
The Everly Brothers	When Will I Be Loved
Enanitos Verdes	Mejor No Hablemos De Amor
The Herbaliser	Gadget Funk
The Drums	I Need Fun In My Life
Michael Franti & Spearhead	Light Up Ya Lighter
Mission Of Burma	That's How I Escaped My Certain Fate
Frank Sinatra	My Kind Of Town
Loreena McKennitt	Down By The Sally Gardens
Sin Fang	Always Everything
Fischerspooner	Happy
Craig Morgan	I Got You
Willie Nelson & Leon Russell	Heartbreak Hotel
Son Volt	Drown
Faith No More	War Pigs
Whitney Houston	Miracle
Drive-By Truckers	Everybody Needs Love
Sarah McLachlan	Into The Fire
Florence & The Machine	You've Got The Love
Culture Club	It's A Miracle
Elbow	With Love
Graham Parker	White Honey
Beck	Lost Cause
Dianne Reeves	Love For Sale
Melba Moore	Time To Come Home 
Incognito	Your Sun My Sky 
Gloria Trevi	Me Rio De Ti
Soraya	Llevame
Bury Your Dead	Twelfth Stroke Of Midnight
Roy Orbison	Only The Lonely 
Roy Orbison	Running Scared
Banda Maguey	Que Sacrificio
Alejandro Fernandez	Si He Sabido Amor
Martha Munizzi	Mighty God
Fred Hammond	Keep On Praisin'
Kirk Franklin	Afterwhile 
Phil Perry	The World Is A Ghetto
Expatriate	Gotta Get Home
Boney James	I Get Lonely
Billy Corgan	A100
Patty Griffin	Rowing Song
Gyptian	So Much In Love
Tito Nieves	Mi Eterno Amor Secreto
Grupo Niche	Gotas De Lluvia
Billie Holiday	Prelude To A Kiss
Barbara Lewis	Make Me Your Baby
Brook Benton	Lie To Me
Roomful Of Blues	That's A Pretty Good Love
The Beatles	I Want You 
Paul McCartney & Wings	Helen Wheels
The Doors	Waiting For The Sun
Elvis Presley	Heartbreak Hotel
Herman's Hermits	Listen People
Peter & Gordon	True Love Ways
Donovan	Wear Your Love Like Heaven
The Hollies	The Air That I Breathe
Gene Vincent & His Blue Caps	Be-Bop-A-Lula
Ruby & The Romantics	Our Day Will Come
Maze	We Are One 
Con Funk Shun	Ffun
Angela Winbush	Angel
Charlie Wilson	Without You
Jazmine Sullivan	Fear
Big Head Blues Club	Kind Hearted Woman
James Brown	I'll Go Crazy
Lucinda Williams	Joy
Willie Nelson	Night Life 
Max Romeo & The Upsetters	War Ina Babylon
Freddie Hubbard	Red Clay
Static-X	Bled For Days
Hatebreed	Ghosts Of War
Howlin' Wolf	Shake For Me
Earth, Wind & Fire	Evil
Della Reese	Don't You Know
James Taylor	Don't Let Me Be Lonely Tonight
Rob Zombie	Demon Speeding
Motorhead	The Game
Marc Anthony	Viviendo
Jo Dee Messina	Because You Love Me
Bad Religion	The Biggest Killer In American History
The Clash	Tommy Gun
Dio	Stand Up And Shout
Kirk Franklin & The Family	Now Behold The Lamb
Tye Tribbett & G.A.	Still Have Joy
Sarah Vaughan	Fever
Pendulum	Out Here
Bettye LaVette	It Don't Come Easy
Desperation Band	The Difference
Chelley	Took The Night
Jose Feliciano	Feliz Navidad
Johnny O.	Fantasy Girl
Sonora Santanera	Donde Estas Yolanda
Andy Palacio & The Garifuna Collective	Baba 
Harlem	Spray Paint
Fleet Foxes	Sun It Rises
Nellie McKay	The Very Thought Of You
The Album Leaf	Falling From The Sun
Nellie McKay	Mother Of Pearl
Steel Pulse	Blazing Fire 
Michael Franti & Spearhead	All I Want Is You
Broken Bells	Sailing To Nowhere
G. Love & Special Sauce	Peace, Love & Happiness
Ed Bruce	You're The Best Break This Old Heart Ever Had
La Mafia	Quiero Amanecer Contigo
Conjunto Primavera	No Se Vivir Sin Ti
Palomo	Nos Falto
Dokken	Into The Fire
Kreator	Warcurse
Delirious?	I Could Sing Of Your Love Forever
Culture Club	The War Song
Skillet	The Last Night
Third Day	Silent Night
Elvis Presley	Blue Christmas
The Carpenters	Merry Christmas, Darling
Kenny Loggins	Celebrate Me Home
Casting Crowns	I Heard The Bells On Christmas Day
Third Day	Joy To The World
Vince Vance & The Valiants	All I Want For Christmas Is You
Kelley Stoltz	Fire Escape
George Harrison	I Dig Love
Kirk Franklin & The Family	Silent Night
Boyz II Men	Silent Night
Israel Houghton	I Receive
Sharon Jones & The Dap-Kings	Be Easy
Israel Houghton	Others
Incognito	Feel The Pressure
Alejandro Sanz	Cuando Nadie Me Ve
Elvis Costello	I Lost You
The Replacements	Skyway
Vampire Weekend	Mansard Roof
Grant-Lee Phillips	It Ain't The Same Old Cold War Harry
The Who	I'm Free
The Flaming Lips	Yoshimi Battles The Pink Robots
U2	I Fall Down
Jason Collett	I'll Bring The Sun
Bruce Springsteen	Fire
Andrew Bird	Plasticities
Lori McKenna	Pour
Alaska Y Dinarama	Ni Tu Ni Nadie
Marvin Gaye	You Sure Love To Ball
The Chi-Lites	Toby
Luther Vandross	At Christmas Time
Frank Sinatra	It Gets Lonely Early
John Pizzarelli	Mountain Greenery
The Brooklyn Tabernacle Choir	Happy Birthday Jesus
Rebecca St. James	Happy Xmas 
Matt Brouwer	Have Yourself A Merry Little Christmas
Jars Of Clay	Love Came Down at Christmas
MercyMe	Joseph's Lullaby
Third Day	Merry Christmas
Frank Reyes	Por Ti Voy A Morir
Rod Stewart	What A Wonderful World 
Judas Priest	Metal Gods
Alejandro Escovedo	Silver Cloud
The Beatles	Two Of Us
Mnemic	Within
Godsmack	Running Blind 
Teddy Pendergrass	Joy
Eva Cassidy	Time After Time
Courtney John	Lucky Man
Maysa	A Woman In Love
Michael Buble	Dream
Alejandra Guzman	Hasta El Final
The Prodigy	Shoot Down
Joy Division	Heart And Soul
Wire	Reuters
Junior Boys	Teach Me How To Fight
John Mayer	Slow Dancing In A Burning Room
Black Prairie	Red Rocking Chair
Tom Petty	It's Good To Be King
New Order	Your Silent Face
The Clash	I'm So Bored With The U.S.A.
Greg Laswell	Off I Go
Justice	Civilization
Sia	I Go To Sleep
The Big Pink	Love In Vain
Interpol	Safe Without
Morcheeba	Sao Paulo
Jeff Buckley	Grace
Cold War Kids	Hospital Beds
Air	Sexy Boy
Maps	It Will Find You
Air	Napalm Love
Eric Clapton	Bad Love
Elton John	Sorry Seems To Be The Hardest Word
The Meters	Chicken Strut
Wanda Jackson	Nervous Breakdown
M.I.A.	Fire Fire
Andreya Triana	X
Peggy Sue	Matilda
Z.Z. Hill	Down Home Blues
Ryan Adams & The Cardinals	Fix It
The Robert Cray Band	Smoking Gun
Huey	When I Hustle 
Parlours	I Dream Of Chicago
Three Dog Night	The Family Of Man
Vince Gill	Take Your Memory With You
Faith Hill	Take Me As I Am
Strike Anywhere	The Promise
Elefante	El Abandonao
Kenny Rogers	Love Lifted Me
L.A. Guns	Kiss My Love Goodbye
James Ingram	I Don't Have The Heart
Nelly	Party People 
The Dirty Dozen Brass Band	Ruler Of My Heart 
The Pretenders	Kid
The Drifters	Save The Last Dance For Me
Ray LaMontagne	Three More Days
Marvin Gaye	Come Live With Me Angel
Donnie McClurkin	Great And Mighty Is Our God
Maysa	Out Of The Blue
Lykke Li	Youth Knows No Pain
Darker My Love	Waves
Death By Stereo	Welcome To The Party
Marsha Ambrosius	Lose Myself
Dave Alvin	Black Sky
Mission Of Burma	Donna Sumeria
The Blues Brothers	Sweet Home Chicago
Ratatat	Seventeen Years
Six Feet Under	Seed Of Filth
Telekinesis	I Got You
Ceo	White Magic
Obits	Back And Forth
Surfer Blood	Take It Easy
Elliott Smith	Needle In The Hay
The Smiths	Ask
Discovery	So Insane
Mustafa Sandal	Kalmadi
Ratt	You're In Love
Charlie Gracie	Butterfly
Jose Jose	Tu Me Estas Volviendo Loco
Juan Luis Guerra	El Costo De La Vida
Ricky Martin	Con Tu Nombre
Marvin Gaye	Pride And Joy 
Queen Latifah	Simply Beautiful 
The Blind Boys Of Alabama	Down By The Riverside 
Gloria Lynne	I'm Glad There Is You
The Tymes	So Much In Love
Elvis Presley	Love Me Tender
Roy Orbison	Dream Baby 
The Allman Brothers Band	Revival
The Blackbyrds	Happy Music
Ray Charles	Crazy Love 
The Whispers	My Heart Your Heart
Blackstreet	Joy
U2	The Three Sunrises
Morrissey	The More You Ignore Me, The Closer I Get
Fenix TX	All My Fault
Take 6	You Don't Have To Be Afraid
NLT	That Girl
J. Valentine	She Worth The Trouble
John Brown	Imma Love You Right
Los Super Reyes	El Rey 
Death Cab For Cutie	Someday You Will Be Loved
Daryle Singletary	Amen Kind Of Love
Lonestar	Tell Her
Lemon Jelly	Space Walk
Gregory Porter	Lonely One
Sinead O'Connor	War
Charles Bradley	I Believe In Your Love
The Grateful Dead	Fire On The Mountain
Dixie Chicks	There's Your Trouble
Loretta Lynn	Trouble On The Line
The Midnighters	Sexy Ways 
The Diamonds	The Stroll
Little Richard	Long Tall Sally
Mike Reno & Ann Wilson	Almost Paradise
Gregg Allman	I Believe I'll Go Back Home
Stevie Wonder	Creepin'
Duffy	Rockferry
Justin Bieber	One Less Lonely Girl
Silversun Pickups	Growing Old Is Getting Old
Carney	Love Me Chase Me
Bobby Helms	My Special Angel
Clay Walker	I Can't Sleep
Mutemath	The Nerve
The Mars Volta	Asilos Magdalena
Solid Gold	Who You  Gonna Run To?
Karyn White	The Way You Love Me
Nina Simone	House Of The Rising Sun
The Breeders	New Year
Miss Kittin & The Hacker	Indulgence
The Concretes	You Can't Hurry Love
Dr. Dog	Ain't It Strange
Balkan Beat Box	War Again
Death Cab For Cutie	We Laugh Indoors
The Kills	U.R.A. Fever
Mickey Gilley	Lonely Nights
Toots & The Maytals	True Love Is Hard To Find 
Crowded House	Fall At Your Feet
Ten Years After	I'm Going Home
Donavon Frankenreiter	Life, Love & Laughter
Mary Mary	Ordinary People
Nat King Cole	Brazilian Love Song 
Nnenna Freelon	If I Only Had A Brain 
Nnenna Freelon	If I Only Had A Brain 
Bebel Gilberto	Aganju
Priestess	Lady Killer
Morphine	Honey White
Aventura	La Nina
Sonic Youth	Incinerate
Ladytron	Seventeen
Bob Marley & The Wailers	No More Trouble
Black Uhuru	I Love King Selassie
Home Video	The Smoke
Steel Train	I Feel Weird
Louis Armstrong	Nobody Knows The Trouble I've Seen
Diana Krall	My Love Is
Linda Ronstadt	Little Girl Blue 
Bobby Womack	If You Think You're Lonely Now
Jermaine Jackson	Daddy's Home
K.C. & The Sunshine Band	Do You Wanna Go Party
Beyonce	I'd Rather Go Blind
Phil Perry	If Only You Knew
Buffalo Springfield	I Am A Child
Pink Floyd	Pigs On The Wing 1
The Association	Never My Love
Ray Charles	Lonely Avenue
Jakob Dylan	Gimme Some Truth 
Willie Nelson	Night Life
Gorillaz	Some Kind Of Nature 
The Pains Of Being Pure At Heart	Everything With You
We Were Promised Jetpacks	Ships With Holes Will Sink
The Duke Spirit	The Step And The Walk
Sharon Jones & The Dap-Kings	Mama Don't Like My Man
Wolf Parade	This Heart's On Fire
Ike & Tina Turner	I've Been Loving You Too Long
Air	Love
Kurt Elling	Say It 
Norah Jones	Shoot The Moon
Lou Rawls	You've Made Me So Very Happy
Mary J. Blige	A Dream
Nyasia	Who's Got Your Love
Destruction	Hate Is My Fuel
Dan Deacon	Okie Dokie
Innerpartysystem	American Trash
Thompson Square	Let's Fight
Bay City Rollers	Money Honey
Frankie Ruiz	Lo Dudo
Magneto	La Puerta Del Colegio
Santana	I Don't Wanna Lose Your Love 
Kiss	C'mon And Love Me
The Rolling Stones	Sway
Machine Head	Ten Ton Hammer
System Of A Down	War?
Bullet For My Valentine	Scream Aim Fire
Kansas	Fight Fire With Fire
The Beatles	Real Love
The Roots	The Fire 
The Used	Burning Down The House
Los Bukis	Contra Viento Y Marea
Anna Calvi	No More Words
Anna Calvi	Desire
Ricardo Arjona	La Mujer Que No Sone
Gang Of Four	Natural's Not In It
Stevie Wonder	Ordinary Pain
Jackie Wilson	To Be Loved
Death	Painkiller
Bayside	Already Gone
S. Carey	In The Dirt
Maps & Atlases	Living Decorations
Metallica	Free Speech For The Dumb
Tesla	Paradise
Aretha Franklin	See Saw
The Beatles	Your Mother Should Know
Alice Cooper	You Drive Me Nervous
Jill Scott	Hate On Me
Hooverphonic	2wicky
Kraak & Smaak	Keep Me Home 
The Cure	All Cats Are Grey
Crystal Castles	Vietnam
The Lemonheads	Dirty Robot
Pavement	Unfair
Basement Jaxx	Good Luck 
Machine Head	Clenching The Fists Of Dissent
Patti LaBelle	Over The Rainbow
Avenged Sevenfold	God Hates Us
Fear Factory	Fear Campaign
Dropkick Murphys	Peg O' My Heart
Stevie Wonder	Happy Birthday
Kem	Love Never Fails
Ray Charles	Sorry Seems To Be The Hardest Word 
Aaron Hall	All The Places 
Starfucker	Astoria
Anna Calvi	The Devil
Johnny Preston	Running Bear
The Five Keys	The Glory Of Love
Metric	Monster Hospital
The Used	Blue And Yellow
Lucinda Williams	Kiss Like Your Kiss
Waka Flocka Flame	Bang 
Randy Newman	It's Money That I Love
Korn	Blind
Mastodon	Colony Of Birchmen
Anita Baker	Lead Me Into Love
Jaill	The Stroller
Cut Copy	Hearts On Fire
Fleetwood Mac	Showbiz Blues
Massive Attack	Angel
The Cardigans	Carnival
Women	Locust Valley
The Flamingos	I'll Be Home
John Mayer	Perfectly Lonely
Paul McCartney	Another Day
Band Of Horses	Is There A Ghost
Robbie Robertson	Sweet Fire Of Love
Procol Harum	Conquistador
Exodus	Bonded By Blood
Lionel Richie	Deep River Woman
Iron Maiden	Be Quick Or Be Dead
Deadmau5	Outta My Life
Eliza Gilkyson	Looking For A Place
Calexico	Victor Jara's Hands
Warren Haynes	On A Real Lonely Night
Otis Redding	Let Me Come On Home
Sade	Love Is Found
Z-Trip	Walking Dead 
Cristian	Amor
Aterciopelados	Rompecabezas
Eric Clapton	Let It Grow
Avenged Sevenfold	Nightmare
Scorpions	Rock You Like A Hurricane
Papa Roach	Burn
Doors	Love Her Madly
Cult	Fire Woman
Machine Head	Aesthetics Of Hate
Dir En Grey	C
Red Hot Chili Peppers	Scar Tissue
Doors	Light My Fire
Smashing Pumpkins	Bullet With Butterfly Wings
Mudvayne	Scream With Me
Chevelle	Send The Pain Below
Motley Crue	Home Sweet Home
Rolling Stones	Gimme Shelter
Kiss	King Of The Night Time World
Grupo Bryndis	Asi Es El Amor
Los Angeles Negros	A Ti
R. Kelly	Touched A Dream
Women	Narrow With The Hall
Burial	Ghost Hardware
My Bloody Valentine	Soon
The Pains Of Being Pure At Heart	Even In Dreams
Elf Power	Let The Serpent Sleep
Andrew Bird	Simple X
The Beatles	For You Blue
Bobby Vinton	My Melody Of Love
Arc Angels	Shape I'm In
Bob Dylan	Corrina, Corrina
Steel Panther	Death To All But Metal
Sheryl Crow	Killer Life
Big Head Todd & The Monsters	Please Don't Tell Her
Aaron Lewis	Massachusetts
Fleetwood Mac	Songbird
Boston	Party
The Beatles	Maxwell's Silver Hammer
The Who	Gettin' In Tune
Rene & Angela	I Love You More
Chaka Khan	Got To Be There
Shalamar	Somewhere There's A Love
Tiesto	Who Wants To Be Alone 
George Duke	Listen Baby
Musiq	Girl Next Door 
The Cure	The Perfect Girl
Martha & The Muffins	Echo Beach
Devo	Girl U Want
Ben Harper & The Innocent Criminals	Fight Outta You
Ginuwine	Trouble 
Tool	Part Of Me
Zapp & Roger	Slow And Easy
Patti LaBelle	When You Talk About Love
Mila J	No More Complaining
Musiq	Settle For My Love 
Brook Benton	Thank You Pretty Baby
Pink Floyd	Set The Controls For The Heart Of The Sun
Austrian Death Machine	It's Not A Tumor 
Walls Of Jericho	A Trigger Full Of Promises
Firehouse	Love Of A Lifetime
Jo Dee Messina	Burn
Chimaira	Power Trip
Radiohead	Go To Sleep
Can	Moonshake
Nouvelle Vague	Ever Fallen In Love?
Matt & Kim	Don't Slow Down
New Found Glory	It's Not Your Fault
LCD Soundsystem	Disco Infiltrator
Kisses	People Can Do The Most Amazing Things
Hot Chip	We Have Love
Starfucker	The White Of Noon
Wilson Pickett	I'm In Love
The Black Dahlia Murder	What A Horrible Night To Have A Curse
New York Dolls	Trash
Howlin' Wolf	Built For Comfort
Alela Diane	To Begin
Menomena	Lunchmeat
Malachai	Rainbows 
Frightened Rabbit	Fast Blood
Reba McEntire	I'm Not That Lonely Yet
Michael Bolton	To Love Somebody
Lupe Fiasco	Intruder Alert 
The Everly Brothers	Let It Be Me
Tiziano Ferro	Tardes Negras
Kyle Riabko	What Did I Get Myself Into
Donnie McClurkin	I Love To Praise Him
The Foreign Exchange	If This Is Love 
Israel Houghton	Our God
Kid Rock	Feel Like Makin' Love
Connie Smith	Just For What I Am
Of Montreal	Doing Nothing
Gold Motel	The Cruel One
Rotten Sound	Scared
Wolf Parade	I'll Believe In Anything
The Rapture	House Of Jealous Lovers
Best Coast	Happy
OFF!	Poison City
Cradle Of Filth	Nymphetamine
Mount Moriah	Lament
Low	Just Stand Back
Bright Eyes	Devil Town
Daft Punk	Something About Us
LCD Soundsystem	Too Much Love
Fenech-Soler	Contender
Luis Fonsi	Abrazar La Vida
Faith Hill	Joy To The World
Faith Hill	Where Are You Christmas?
John Lennon	Love
D'Angelo	Cruisin'
John Lennon	Happy Xmas 
Eric Lindell	Lullaby For Mercy Ann
Anti-Flag	Turncoat
Dottie Peoples	Happy In Jesus
CeCe Winans	Away In A Manger
Brian McKnight	Because Of His Love
Israel & New Breed	Have Yourself A Merry Little Christmas
Daryl Hall & John Oates	Home For Christmas
Harry Connick, Jr.	Blue Christmas
Kenny G	Joy To The World
Peter White	Silent Night
Vanessa Williams	Joy To The World 
Frank Sinatra	Have Yourself A Merry Little Christmas
Mariah Carey	Joy To The World
Mariah Carey	Silent Night
Rascal Flatts	I'll Be Home For Christmas
Kenny Rogers & Dolly Parton	With Bells On
Alan Jackson	Let It Be Christmas
Kenny Chesney	Pretty Paper
Jo Dee Messina	Silent Night
The Carpenters	Have Yourself A Merry Little Christmas
Casting Crowns	Silent Night
Jim Brickman	Sending You A Little Christmas
Lanae' Hale	Carol Of The Bells
James Taylor	Have Yourself A Merry Little Christmas
Bing Crosby	I Wish You A Merry Christmas
Andy Williams	Silent Night
Josh Groban	Silent Night
Peter, Paul & Mary	We Wish You A Merry Christmas 
Coldplay	Have Yourself A Merry Little Christmas
Amy Grant	Silent Night
Vince Gill	Let There Be Peace On Earth
Stevie Wonder	One Little Christmas Tree
Six Feet Under	Shadow Of The Reaper
David Crowder Band	Feliz Navidad
Sanctus Real	Silent Night
Out Of Eden	O Little Town Of Bethlehem
Sara Groves	Child Of Love
Stacie Orrico	Love Came Down
Michael McDonald	I'll Be Home For Christmas
The Jackson 5	Give Love On Christmas Day
The Jackson 5	Have Yourself A Merry Little Christmas
Frank Sinatra	Silent Night
Bing Crosby	Happy Holidays 
Sammy Kershaw	Christmas Time's A Comin'
Lonestar	All My Love For Christmas
Obituary	Slowly We Rot
Black Eyed Peas	Power To The People
Regina Spektor	Real Love
Jane Monheit	Have Yourself A Merry Little Christmas
Los Lonely Boys	Feliz Navidad
Underworld	Beautiful Burnout
Crystal Castles	Alice Practice
The Chemical Brothers	Another World
Randy Travis	White Christmas Makes Me Blue
Lady Antebellum	Blue Christmas
Rose	Sombre Con
Talking Heads	Blind
Queen	Thank God It's Christmas
Beck	Nobody's Fault But My Own
King Crimson	Matte Kudasai
Chris Tomlin	Joy To The World 
Dave Barnes	Family Tree
MERCY ME	Joseph's Lullaby
Brooklyn Tabernacle Choir	Happy Birthday Jesus
Matt Maher	Empty & Beautiful
The Temptations	Give Love On Christmas Day
Ledisi	Silent Night
Ledisi	Have Yourself A Merry Little Christmas
The O'Jays	Christmas Ain't Christmas 
Ledisi	What A Wonderful World
The Damned Things	Handbook For The Recently Deceased
Jaci Velasquez	Feliz Navidad
Luis Miguel	Ayer
Yolanda Adams	Give Love On Christmas Day
Slaughter	Mad About You
The Ramones	Merry Christmas 
B.B. King	Merry Christmas Baby
Harry Connick, Jr.	This Christmas
Gloria Estefan	This Christmas
Diana Krall	Have Yourself A Merry Little Christmas
Curtis Lee	Pretty Little Angel Eyes
Mountain	Theme From An Imaginary Western
Bing Crosby	Silent Night
Th' Legendary Shack Shakers	Swampblood
Aretha Franklin	I'm In Love
Karrin Allyson	Everything Must Change
JJ Grey & Mofro	On Fire
Elvis Costello	One Bell Ringing
Mudcrutch	Crystal River
Louis Armstrong	What A Wonderful World
